	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	johanw	memory_alpha	imdb
148	148	148	148	250	Second Chances	6	24	1993-05-22 0:00:00	SECOND CHANCES	Second Chances	The Enterprise returns to an outpost to retrieve information from the computers that was not taken when the post was evacuated several years ago. The planet is apparently surrounded by an energy field that prevents transport to the planet except during brief periods. When the away team transports down, they find another Will Riker, who was apparently stranded there years ago and who is still very much in love with Deanna Troi.	"In Ten Forward, people are gathered together and a jazz band, with Will Riker at the trombone, is playing ""I Remember You."" From the bar, Deanna Troi requests that he play ""Night Bird"" – a piece Riker has been having difficulty getting right for the past ten years. He hesitantly grants her request when she insists, and just as he is about to start, Lieutenant commander Data calls him to the bridge. Relieved, Riker goes to the bridge, where Data informs him that they will be able to transport down to the surface soon to get to the science outpost due to the use of the transport logs of the USS Potemkin which had last been there. Riker reminisces that he almost didn't make it out of there eight years ago. According to Data, they only have about 26 minutes to beam down to the planet and retrieve the database. There will be only three transport windows open altogether within the next four days, and after that, the next transport window, so Data says, will not occur for another eight years, when the planet's orbit will bring it close enough to the sun to de-phase the distortion field. Riker decides to go in ahead of schedule. When Riker, Worf, Data and an engineer beam down to the outpost, they realize that someone must have been down there, as Riker mentions the station was a mess when he left. Data also draws his attention upward, noticing a hastily made hatch covering up part of the ceiling. Data's tricorder detects a humanoid lifeform approaching, and much to their surprise, they find a man who looks exactly like William Riker. "	Riker's exact duplicate is discovered on Nervala IV. His first order of business: resume his relationship with Deanna. Second order: obey orders from his superior - himself.
149	149	149	149	251	Timescape	6	25	1993-06-12 0:00:00	TIMESCAPE	Timescape	When Picard, Geordi, Troi, and Data return from a conference, they find the Enterprise frozen in time apparently in the middle of combat with a Romulan War Bird.	"Commander Riker is sitting on one of the biobeds in sickbay with two deep cuts on his forehead. As Dr. Crusher scans the cuts with a medical tricorder, she says that this is not just a scratch and that it serves him right for playing parrises squares like he was twenty-one. She warns that next time he injures himself, he might break his neck which she may not be able to treat as easily. Riker tells her that he wasn't playing parrises squares, however. Dr. Crusher then guesses that he was injured in one of Worf's calisthenics programs, but again she is wrong. Riker tells her that it was, in fact, Spot who injured him – Riker had promised to feed Data's cat while he was away (even though he hates cats) and was attacked while setting down the food. Because of this, Riker suggests that Dr. Crusher feed Spot instead, and the doctor says she'd be happy to (because she loves cats). Riker is then called to the bridge by Lieutenant Worf on the intercom. As Riker leaves sickbay for the bridge, he tosses Crusher a hand phaser, half-joking that she'd need it to feed Spot. As Riker enters the bridge, Worf informs him that they have picked up a distress call on the long range sensors. It is from a Romulan vessel claiming that they have suffered a total engine failure, falling power levels, and failing life support. Although there are signs that the distress call is a trap, Federation policy is to give the benefit of the doubt in these situations. Since the USS Enterprise-D won't rendezvous with Captain Picard's runabout for another thirteen hours, Riker orders a course to meet with the Romulan ship. As a precaution, he orders the shields raised and issues a red alert. Captain Picard and Lieutenant Commanders Data, La Forge, and Counselor Troi are aboard a runabout heading back to rendezvous with the Enterprise. Data turns helm control of the runabout over to the computer and joins Picard, La Forge, and Troi in the aft section of the runabout, who are all sitting at a table finishing their lunches and discussing their thoughts about the conference. Troi talks about a Ktarian scientist, a Dr. Mizan, who wanted her to join him in ""empirical research"" on interspecies reproduction. Other than her encounter with Dr. Mizan, Troi was horribly bored at the conference, as there was little opportunity for those attending a seminar to give their views. The lecturer, Professor Wagner, was the only one with freedom to speak. Picard's experiences were no better – he attended the physiognomy workshop where the lecturer, Dr. Vassbinder, spent an hour giving a dissertation on the ionization effect of warp nacelles, until he realized that the topic was supposed to be psychology. As with Troi, nobody could tell the instructor of his mistake, as he never gave anyone the opportunity to speak, as he himself spoke in incredibly long, unbroken sentences moving from topic to topic. La Forge, on the other hand, enjoyed his time at the warp energy symposium where he was able to physically touch a plasma field. Halfway through speaking, he, Data, and Picard freeze for no apparent reason. Troi is surprised by the sudden stop in the others' movements, but in a matter of seconds, they resume as if nothing had happened. La Forge notices that Troi is somewhat shaken by something and asks her if something is wrong. She isn't sure. "	Aboard a shuttlecraft and en route back to the Enterprise, Picard, LaForge, Data, and Troi find themselves trapped in a time trap of some sort, where the Enterprise is being taken over by Romulans, and the ship, itself, on a course of destruction.
150	150	150	150	252	Descent, Part I	6	26	1993-06-19 0:00:00	DESCENT, PART I	Descent, Part I	" This cliffhanger finale to the sixth season finds the Enterprise in combat once more with the Borg but, this time, the Borg are different. They have become individuals and have changed their tactics confusing the crew of the Enterprise. When one of the Borg is captured, they discover that the Borg are now lead by someone who has taught them new ideas.  Meanwhile, Data is confronted with the emergence of a new experience - emotion. While fighting the Borg, Data gets ""angry"" and kills one of the Borg and later admits that he felt ""pleasure"" in it. He is very confused by the new experiences and seeks to understand them better. When the captured Borg offers him an explanation, Data helps him escape the ship in a shuttlecraft. When the Enterprise follows, they discover the Borg on a remote planet and discover who is behind the new and deadlier Borg.  "	"Data is playing poker on the holodeck with simulations of Isaac Newton, Albert Einstein and Stephen Hawking. They engage in a conversation about the curvature of space-time and the ""apple story"". Newton asks why they are playing this ""ridiculous game"". Data tells him that he has found, from playing the game with his shipmates, that it provides a useful forum into the facets of Humanity. He explains that he was curious to see how three of history's greatest minds would interact in this setting. Hawking has just laid down a winning hand of four sevens when Riker calls for red alert. The USS Enterprise-D responds to a distress call from Ohniaka III, an outpost with little strategic value. The Enterprise arrives to find a mysterious ship in orbit. An away team consisting of Riker, Worf, Data, and security officer Corelki find that all personnel on the station are dead and it appears that whoever was responsible for the attacks was specifically interested in their deaths. Data overrides a control panel, causing a door to open and revealing that the attackers are the Borg. "	After an encounter with the Borg, Data feels his first emotion when he gets angry with the Borg. Data then tries to find ways to recreate the situation in order to feel emotions again, whilst the Enterprise investigates the Borg activity, and are bewildered as to why they feel emotions too.
151	151	151	151	253	Descent, Part II	7	1	1993-09-20 0:00:00	DESCENT, Part II	Descent, Part II	In this conclusion to the cliffhanger finale of the sixth season, Troi, Picard, and Geordi are captured by the Borg and Data's brother Lore who is the leader of this group of renegade Borg. Lore plans, with Data's help to create a new race of beings to become masters of the universe. Meanwhile, Riker, Worf and most of the crew of the Enterprise follow Picard down to the planet to try and locate the missing members of the away team leaving Dr. Crusher in command of the Enterprise.	After Lore reveals himself to Jean-Luc Picard, Deanna Troi, and Geordi La Forge, the three are confronted by the fact that Data and Lore are now working together. Lore and Data tell Picard that the end of biological life is at hand and the age of completely artificial lifeforms has begun. Lore had apparently found the Borg struggling with the sense of individuality that Hugh had contracted to the Collective. He sees himself and Data as something for the Borg to aspire to and believe in. Lore tells Picard that he, and all others like him, are obsolete. He has Data take them away. 	Before Lore can run risky experiments on Geordi, Troi and Picard, the three seek a way to re-boot Data's ethical program that Lore switched off to pull Data to his side.
152	152	152	152	254	Liaisons	7	2	1993-09-27 0:00:00	LIAISONS	Liaisons	The Enterprise hosts Iyaaran ambassadors in their first contact with the Federation. Troi is assigned to host LoQuell who seems to take pleasure in lots of different things, including dessert. Originally, Riker was supposed to chaperone Byleth but the ambassador insists on Worf being his escort instead and, throughout their visit, Byleth orders the frustrated Klingon around seemingly intent on provoking the warrior. Meanwhile, Picard on his way to the Iyaaran homeworld with Vovall, crashlands on a planet where he is rescued by a strange woman who falls in love with him and dotes on him.	"In his quarters, Worf is looking at himself in a mirror. He is in his Starfleet dress uniform trying to get his Klingon baldric placed just right when the door chime sounds off and he asks whoever is standing outside to enter. Commander Riker walks in, wearing his dress uniform as well and hurriedly telling Worf that a group of visiting dignitaries are due to come aboard at any minute. Riker says that if he did not know any better, he would say Worf is procrastinating. Worf states that Klingons do not procrastinate; this issue is merely a tactical delay. Riker straightens out his baldric and Worf mentions that he does not enjoy wearing dress uniforms, finding them to be too much like dresses. Riker finds Worf's comment to be an example of an ""incredibly outmoded and sexist attitude,"" and that he is surprised by him. ""Besides, you look good in a dress,"" Riker jokingly tells Worf, as they walk out of his quarters. The crew of the USS Enterprise-D is welcoming aboard two Iyaaran ambassadors, Loquel and Byleth, who are visiting the ship as part of a cultural exchange that will also send Captain Jean-Luc Picard to their homeworld, Iyar. Before Picard departs, he assigns Counselor Deanna Troi to act as Loquel's liaison and asks Commander Riker to do the same for Byleth. However, Byleth immediately demands that Lieutenant Worf serve as his shipboard guide. Worf reluctantly accepts, and Picard wishes Riker luck with the ambassadors as he departs for Iyar with Voval, the Iyaaran shuttle pilot. "	On a diplomatic mission, Worf, Troi and the Captain deal with three aliens who explore foreign concepts with extreme, singular focus.
153	153	153	153	255	Interface	7	3	1993-10-04 0:00:00	INTERFACE	Interface	The Enterprise is sent on a rescue mission to assist the scientific ship Raman which was investigating a gas giant. The crew uses a new technique of integrating a human nervous system with a probe to investigate in hazardous environments. Because of Geordi's implants, he is the best candidate for using the new device. While investigating on board the Raman, Geordi believes he sees his mother whose ship was lost 300 light years away.	Geordi La Forge, Data, and Beverly Crusher are testing an interface in a science lab on the USS Enterprise-D which allows La Forge to use the VISOR's neural implants in his brain, along with an interface suit, to control a probe by remote control. Via this connection, La Forge can use the probe to virtually enter areas that would be far too dangerous for actual crew members to enter, and the probe transmits information directly into La Forge's cerebral cortex, providing him with the sensation that he is actually there. 	Geordi is distracted by the news of the possible loss of his mother while he uses a new remote probe technology to search for a downed spacecraft.
154	154	154	154	256	Gambit, Part I	7	4	1993-10-11 0:00:00	GAMBIT, PART I	Gambit, Part I	The crew of the Enterprise search for their missing captain who was apparently killed in a bar on some remote planet. While investigating the captain's disappearance, the Enterprise encounters mercenaries who are stealing artifacts from archaeological digs. The mercenaries capture Riker leaving Data in command of the Enterprise now in pursuit of their missing comrade.	"Commander Riker, Dr. Crusher, Counselor Troi, and Lieutenant Worf investigate Captain Picard's whereabouts in a musty bar on Dessica II, describing him as a ""smooth-headed"" Human. They find Yranac, a Yridian criminal sitting at a table in the bar who knows something – after the group promises him safe passage on their starship, he admits to seeing Picard the day before, asking a group of aliens questions about archaeological artifacts. Crusher's tricorder scans confirm Starfleet fiber traces and Human cellular debris exposed to some kind of high energy field, and faint traces of micro-crystalline damage in the floor material. Yranac tells Riker that he was not finished talking and continues his story. He explains that a fight broke out and Picard was vaporized by a weapon. Troi empathically confirms that Yranac is telling the truth. "	While investigating the apparent death of Capt. Picard, Riker is abducted by a group of intergalactic archaeological thieves, only to find Picard has apparently joined their ranks.
155	155	155	155	257	Gambit, Part II	7	5	1993-10-18 0:00:00	GAMBIT, Part II	Gambit, Part II	In the conclusion to the story line started in the previous episode, Picard and Riker, having become members of the mercenary crew, attempt to find out what artifact the mercenaries are searching for and keep them from destroying the Enterprise in the process.	The USS Enterprise-D is hit on the port nacelle with a barrage of fire from the mercenary vessel where Riker is being held prisoner. To Worf's surprise, the damage was minimal. The same is true when the starboard nacelle is then hit. Troi believes Riker has done something to their weapons, which Data, as acting captain, believes it to be true and sees that they must play along. The Enterprise simulates serious damage and fires back with only minimal phaser power. Picard pretends that phaser hit damaged the vessel's three plasma arrays on their disruptors. This, along with the antimatter containment units buckling forces Baran to order the mercenary ship to withdraw. Data orders the crew to let the ship go, much to Worf's chagrin, assuming that this is what Riker wants them to do. 	Riker and Picard must find out why this intergalactic gang is looting archaeological sites.
156	156	156	156	258	Phantasms	7	6	1993-10-25 0:00:00	PHANTASMS	Phantasms	Data begins experiencing problems with his dream program which first leads to strange nightmares, then to hallucinations and finally to attacking Troi.	"Data is walking through the corridors of the USS Enterprise-D, when he encounters Geordi La Forge standing against a bulkhead. La Forge tells him they have a plasma conduit to install as they are bringing the Enterprise's new warp core online in less than three hours. Data tells him he will proceed to deck 20 and begin modifications. As he leaves, La Forge shouts after him, ""This oughta be a lot of fun!"" Walking further up the corridor, Data sees three workmen destroying a warp plasma conduit. He first asks if they have authorization to work here, then tells them he must ask them to stop, and after he speaks, he emits a high-pitched sound through his mouth. The workers tell him to be quiet, then attack and dismantle him, first his left arm, then his right leg, and then ultimately his head. A startled Data suddenly wakes up in his bed. "	Data deals with his new ability to experience nightmares as the Enterprise deals with the installation of a new warp core that won't work as expected.
157	157	157	157	259	Dark Page	7	7	1993-11-01 0:00:00	DARK PAGE	Dark Page	Lwaxana Troi returns to the Enterprise as a language tutor for a delegation from a telepathic species known as the Cairn. However, she suffers a breakdown and Troi must enter her mother's mind to save her life.	Lwaxana Troi returns to the USS Enterprise-D, this time as the teacher of an alien race learning to speak, the Cairn. Their native form of communication is solely telepathy, but they want to learn spoken language in order to interact with other races and eventually to join with the United Federation of Planets. Lwaxana comes aboard with Maques and his daughter Hedril. Hedril is a young child and is Lwaxana's star pupil.  The crew begins to notice that Lwaxana doesn't seem to be her normal flamboyant self. She's quiet and almost reserved, even her clothing seems subdued compared to usual. She perks up when talking to Worf and Commander Riker, explaining the telepaths can't read their minds, only other telepaths'. Deanna then walks in, and she quickly has her meet Maques and leaves with Hedril. After introductions, he says Lwaxana told him Deanna needs a husband, and he, coincidentally, needs a wife. 	While establishing diplomatic relations with an alien race called the Cairn, Deanna's mother experiences a mental breakdown and falls into a coma, and it seems like Deanna is the only one who is able to help her, even if her mother doesn't want it.
158	158	158	158	260	Attached	7	8	1993-11-08 0:00:00	ATTACHED	Attached	The Enterprise is sent to KesPrit, a world divided into two factions - the Kes and the Prit. The Kes have applied to enter the Federation but the Prit are xenophobic. Dr. Crusher and Captain Picard beam down to open discussion with the Kes but are kidnapped by the Prit and find themselves able to read each other's minds by means of a surgical implant.	Dr. Crusher and Captain Picard are sharing breakfast in the captain's quarters. While Crusher tells Picard of the burgeoning romance between Nurse Alyssa Ogawa and Ensign Markson, Picard seems preoccupied. When confronted with his inattention, Picard confesses that he is, while not exactly worried, bothered by the idea of admitting only half of Kesprytt III to the Federation while leaving the other half out. Crusher attempts to alleviate his concerns by pointing out that the Kes inhabit about three-quarters of the planet and present all the characteristics necessary for admission, even if the Prytt are xenophobic and wish only to be left alone. If Australia had refused to join the United Earth Government in 2150, Crusher hypothetically asks Picard, should the people of Earth have been left out of the Federation? Picard is arguing that the cases are hardly analogous when he is interrupted by a communication from Commander Riker, alerting him to the fact that Ambassador Mauric is awaiting them on the planet. Picard and Crusher leave for the transporter room, but not before Crusher promises a special Vulcan dish for the next morning's breakfast. Lieutenant Worf is standing ready at the transporter console and beams Picard and Crusher to Mauric's chambers, after receiving confirmation from Kes Security Relay Station One that they have dropped their defense shield and are ready to receive transport. Worf is about to leave the transporter room after successfully beaming down the two officers when he receives word from Security Relay Station 1 that Picard and Crusher never arrived. He is stunned. 	Captain Picard and Dr. Crusher discover things about one another when they are captured by an opposing alien race, due to the fact that the Enterprise has come to allow the planet's other civilization the choice of being part of the Federation.
159	159	159	159	261	Force of Nature	7	9	1993-11-15 0:00:00	FORCE OF NATURE	Force Of Nature	While searching for a missing vessel in the Hekarran Corridor, the Enterprise is boarded by two scientists who claim that warp drive is destroying their planet.	"Lieutenant Commander Data arrives at Geordi La Forge's quarters to take back Spot after La Forge borrowed her temporarily to experience having a pet cat before getting one for himself — a wise precaution, as La Forge found that he was nowhere near ready for a cat as yet. Spot had completely ruined his quarters and furniture during her stay. They discuss training Spot in order to rid her of her somewhat reckless behavior, but the discussion is interrupted when Commander Riker (on the intercom) calls all senior staff to the observation lounge for a mission briefing in ten minutes. Before leaving, they try to make an attempt to get her out from under La Forge's bed, only to have Spot destroy more items in La Forge's quarters. ""Training, definitely"", he tells Data. "	While searching for a missing Federation medical transport, the Enterprise is accosted by two scientists from a nearby planet who claim that cumulative exposure to warp energy is weakening the fabric of space.
160	160	160	160	262	Inheritance	7	10	1993-11-22 0:00:00	INHERITANCE	Inheritance	Data encounters a woman who claims to be Noonian Soong's wife, and Data's mother.	When the Atreans discover that the core of their homeworld, Atrea IV, is cooling, posing a significant threat to the continued habitability of the planet, the USS Enterprise-D is dispatched to find a solution. Dr. Pran Tainer, an Atrean geologist, and his wife, Dr. Juliana Tainer, come on board to assist the Enterprise crew in this task. After briefing the senior officers on the nature of the problem and revealing that the planet will become uninhabitable in 13 months, Geordi La Forge and Data suggest employing ferro-plasmic infusion to reliquify the planet's core, using the Enterprise's phasers to drill through the surface and setting up plasma infusion units. Data believes that if the procedure is successful, the core will remain molten for centuries. After Captain Picard and Pran approve this plan, they, along with most of the other officers leave the observation lounge, leaving Data alone with Juliana Tainer. Juliana asks Data if he remembers her. When he says he does not, she reveals she was Dr. Noonien Soong's wife, and involved in Data's construction, therefore making her essentially Data's mother. 	"On Federation planet Atrea IV, Data encounters the former wife of his creator Noonian Soong who claims to be his ""mother""."
161	161	161	161	263	Parallels	7	11	1993-11-29 0:00:00	PARALLELS	Parallels	Worf returns to the Enterprise from a Klingon competition only to find that reality is changing around him and he's the only one who realizes it.	"Worf dictates a log entry while on a Type 6 shuttlecraft, the Curie. He picks up a Klingon trophy. Back on the Enterprise, Riker and Worf walk down a corridor. Worf carries his bat'leth and trophy as Riker tells him that they are returning to the Argus Array. The subspace telescope has stopped transmitting data for the third time that year. He wants Worf to start a long range scan when he notices Worf's attention wandering and remarks that the Klingon seems extremely tense, considering the fact that he has just returned from a vacation. Worf replies that today is his birthday.  They reach Worf's quarters, but Worf is hesitant to enter. He cautiously looks around and Riker worriedly asks what's wrong. Worf is afraid that someone might have set up a surprise party for him. Riker says that he hates surprise parties and would never do something like that to him. Worf apologizes and Riker exits. Worf proudly studies his trophy, places it on a table and heads to the bedroom. Out of the darkness, happy shouts of ""Surprise!"" erupt. Lights come up and several crew members are revealed. As Deanna Troi and Beverly Crusher rush to kiss Worf, Riker comes in, puts a silly party hat on Worf's head and announces, ""I love surprise parties!"" "	On his return from a bat'leth competition in the Klingon Empire, Worf finds himself shifting realities where events and details are in a constant state of flux and only he is aware of the changes.
162	162	162	162	264	The Pegasus	7	12	1994-01-10 0:00:00	THE PEGASUS	The Pegasus	Riker's first commander, now an admiral, joins the Enterprise for a search mission to find the Pegasus. The Pegasus was the ship commanded by Adm. Pressman on which the crew mutineed shortly before Pressman, aided by a young Ensign Riker and some others, escaped. Their mission now is to find the ship, and the secret it carries, before the Romulans find it or the secret that Adm. Pressman has hidden onboard.	"In the observation lounge aboard the USS Enterprise-D, a brightly-colored banner hanging by the room's viewports proclaims it to be ""Captain Picard Day"". Picard, somewhat unhappy with the idea, surveys the numerous entries made for the event by the crew's children with Deanna Troi, as Commander Riker looks on, amused. Riker playfully uses one of the dolls and imitates Picard's voice, much to the captain's annoyance. A priority one message from Vice Admiral Blackwell is received, forcing him to excuse himself from the judging momentarily. After the admiral inquires as to the Enterprise's current status – conducting surveys of the Mekoria Quasar – she orders Picard to immediately rendezvous with the USS Crazy Horse in sector 1607 and pick up an operative from Starfleet Intelligence. She tells Picard the operative will brief him on his orders when he arrives. She also adds that Picard is authorized to exceed warp speed limitations for the duration of the mission. Noticing the banner behind Picard, she also inquires about ""Captain Picard Day,"" which embarrasses Picard. Laughing nervously, he tells the admiral that he is a role model for the children aboard the Enterprise. She tells Picard that she is sure he is and ends the transmission. Later, Picard walks to the transporter room with Riker. Picard mentions that he has set up a ""Commander Riker Day"" for next month and Riker sarcastically says that he thinks it's great. Entering the transporter room, Picard orders that the individual be beamed aboard. The operative turns out to be Erik Pressman, a former commanding officer of Riker's, and now a rear admiral. Picard recalls that Pressman was the captain of the USS Pegasus, Riker's first assignment. Pressman states that the Pegasus is the reason for his arrival – at Riker's shocked visage, he reveals that the ship is still out there ""…and the Romulans have found her."" "	Riker finds out his former commander from the starship Pegasus has orders that entail more than what is revealed to Picard, who thinks the Enterprise is en route to recover the lost ship. And Riker is ordered to secrecy.
163	163	163	163	265	Homeward	7	13	1994-01-17 0:00:00	HOMEWARD	Homeward	Worf's brother in law saves the population of a village on a planet whose atmosphere becomes unstable, and so violates the prime directive.	The USS Enterprise-D has arrived at the planet Boraal II. Data reports that it is experiencing atmospheric dissipation and will be rendered uninhabitable in less than 38 hours. Lieutenant Worf is especially concerned with this recent development as his foster brother, Nikolai Rozhenko, is assigned to the one-man observation post on the planet. Worf asks Captain Picard for his permission to beam down and see if his foster brother is all right. Picard, concerned that Worf's visit may conflict with the Prime Directive, agrees, but says that to try to minimize the risk of contact with the inhabitants, Worf will go alone and must be surgically altered to pass as a Boraalan. After his alteration into a Boraalan by Dr. Crusher, Worf beams down to a cave where energy is detected. Shortly after, Worf finds Rozhenko and many Boraalans inside the cave and discovers that Rozhenko has broken the Prime Directive by shielding the cave, to help the Boraalans survive. 	In an attempt to preserve a race of people on a planet being bombarded by storms that would kill them, Worf's foster brother violates the Prime Directive, leaving the Enterprise crew in a difficult position.
164	164	164	164	266	Sub Rosa	7	14	1994-01-31 0:00:00	SUB ROSA	Sub Rosa	Dr. Crusher's grandmother dies and at the funeral, she spots a handsome young man who was apparently her grandmother's lover...and a ghost.	Doctor Beverly Crusher reads a eulogy before her late grandmother's coffin at the Caldos colony graveyard, with Counselor Deanna Troi and Captain Jean-Luc Picard at her side, describing her grandmother, Felisa Howard, as a healer, and one who offers more than just a healthy body; she will miss her advice, healing, and most of all, her inspiration that she has provided Crusher with through the years. Governor Maturin reads a modified version of the Anglican burial service as her coffin slowly descends beneath the ground. As the colonists circle the grave and the gravediggers begin to bury her, a camellia is thrown to the coffin. Crusher looks over and sees a mysterious man walking with the other colonists who stops and gives her one glance before leaving. 	Dr. Crusher meets the man in her dead grandmother's life when she tries to put her affairs in order, whom one of the local people warn her to stay away from by not lighting a candle that has been lit for generations.
165	165	165	165	267	Lower Decks	7	15	1994-02-07 0:00:00	LOWER DECKS	Lower Decks	A unique look at how the Enterprise crew trains, rates and promotes Ensigns on board ship. And how the ensigns deal with their situation, no matter how tough their commanding officers' demands are.	"Counselor Troi and Commander Riker are sitting together at a table discussing crew evaluations in Ten Forward, trying to decide who would be the best to fill a supervisory position. Riker laments that this is a recurring theme as they did crew evaluations three months ago. He decides that everyone on the ship will get promoted and calls it a night, addressing Troi as ""commander"", which Troi acknowledges, addressing him as ""captain"" and ordering two coffees. Across the table, Ensign Sam Lavelle, who is watching them with his friends Ensigns Sito Jaxa, Taurik, and Nurse Alyssa Ogawa, complains that their careers are literally being decided across the room. Ogawa tells him not to worry, and Sito tells him to just enjoy themselves. Lavelle decides to think about promotion out loud, much to the annoyance of Taurik. Ogawa and Sito explain to the Vulcan ensign that it's a time-honored strategy that the Bajorans use. He then finally jokes that by being promoted to Lieutenant, he would have his own crew quarters, whereupon Taurik says that he can request a new room assignment if he is not happy with sharing quarters with him, on the off chance he isn't promoted. This draws laughter from the table. The conversation between Troi and Riker changes to the Ops night duty officer. While Lavelle is an obvious choice, he's considering Sito as well. Ben, a waiter, serves the coffees to Riker and Troi, at the same time teasing Troi about dessert, whereupon Troi assures him that she doesn't want dessert and that he should not tempt her. Ben walks over to the junior officers and after much badgering, he tells them that apparently, Lavelle and Sito are up for the same position. "	A mission of the Enterprise is seen through the eyes of some junior officers who are up for promotions, as questions of duty and honor arise among some of them, such as a Bajoran whom Worf has designated to be promoted to operations.
166	166	166	166	268	Thine Own Self	7	16	1994-02-14 0:00:00	THINE OWN SELF	Thine Own Self	Data is sent to a technology poor planet to recover some radioactive material that fell onto the planet. Although he was not supposed to encounter any of the natives (and thereby not violate the Prime Directive) he wanders into the nearest village suffering from amnesia. Meanwhile, Deanna Troi decides she wants to take the necessary tests to achieve promotion to command level.	Beverly Crusher is in charge of the night shift on the USS Enterprise-D. Counselor Deanna Troi arrives on the ship after having attended a class reunion at Starbase 231. A conversation ensues between Crusher and Troi on the bridge in which the main subject is Crusher's past decision to apply for the rank of commander, a rank which she does not need as a requirement for the post of chief medical officer. Lieutenant Commander Data is commonly in charge of the night shift, but he is out on an away mission. A deep space probe containing radioactive material in its casing has crashed on a planet, Barkon IV, hosting a preindustrial civilization. Due to Data's android nature, he is the one best suited for the mission. He is hailed by the Enterprise's bridge by Ensign Rainer, but no response is received by them. Dr. Crusher is not overly concerned, as the radioactive nature of the fragments Data is supposed to collect on the planet are expected to disturb any received and sent messages, as Geordi La Forge had warned. Crusher thought she should probably try to hail him anyway. Crusher says that Data can wait for a few days before being picked up by the Enterprise as the ship has to rendezvous with the USS Lexington to deliver medical supplies to the Taranko colony.  In a village on Barkon IV, two Barkonians, a middle-aged man named Garvin and his young daughter, Gia, are talking. They are interrupted when Data walks in, his appearance suggesting that he has been through some rough experiences; his hair is tousled and his uniform is dirty and ripped in places. He stops when he sees them, but is only able to emit non-vocal sounds. 	Data is sent to follow a probe that has drifted off course and crashed on a primitive planet, only to crash on the planet himself, with no memory of any event prior to crashing on the planet's surface.
167	167	167	167	269	Masks	7	17	1994-02-21 0:00:00	MASKS	Masks	The Enterprise finds a data archive from a long-dead culture inside a comet. While probing the comet, the Enterprise is assaulted by a sensor echo and the ship begins slowly transforming into an alien city. Meanwhile Data becomes inflicted with multiple personalities - apparently entities from the ancient civilization.	Counselor Deanna Troi is attending Mrs. Narsu's class in Classroom 7 and helping the students convey their feelings in their clay sculptures. Data is also attending this class to work on using his imagination, and creates a nearly exact sculpture of a PADD (the dimensions accurate to within 1.3%). Troi tells him that he needs to work on his imagination, and as an exercise, suggests he sculpt music. Data is at first confused and points out that music is a collection of acoustic vibrations, but Troi encourages him to sculpt an image that reminds him of music. Data proceeds to form the clay into a treble clef, and Troi says they'll work on it further. First Officer Commander Riker contacts him and tells him to report to the bridge. The USS Enterprise-D is traveling through sector 1156 when they encounter a rogue comet which is not located on any of the Federation starcharts. It appears to have originated from the D'Arsay system, over two sectors away, and it seems to have been traveling for more than 87 million years. Captain Picard orders Data to begin a full sensor analysis and to send along his findings to the Federation Astrophysical survey. While scanning the comet, the bridge is illuminated with a strange, bright, ambient light which gradually fades away. Data says it appeared to be a sensor echo caused by a distortion in the comet's inner core. After compensating for the effect, Data announces that the sensor scan of the comet will be complete in 39 hours. In Troi's quarters, Beverly Crusher sees a strange object. When she asks what it is, Troi tells her she's never seen this object before, and its style makes it unlikely to be a gift from Riker. When Crusher and Troi leave the room to attend Lieutenant Worf's mok'bara class, a strange symbol appears on the object. 	Investigating a rogue comet that's been traveling throughout the universe for over 87 million years, Picard discovers alien beings within the comet, which infest the computer systems on the Enterprise, as well as Data.
168	168	168	168	270	Eye of the Beholder	7	18	1994-02-28 0:00:00	EYE OF THE BEHOLDER	Eye Of The Beholder	Lt. Kwan's suicide on board the Enterprise sparks some interesting results when Troi and Worf begin to investigate.	"The red alert klaxon wails on the bridge of the Enterprise as Lt. Commander Data reports that they're losing containment in the starboard nacelle tube. Captain Picard orders more power to the field coils, and asks Lt. Commander La Forge for a report, which the chief engineer replies that someone has locked out the plasma injector controls and they cannot be shut down. The venting system engages as the Enterprise begins to vent plasma from the nacelle. Commander Riker and Lieutenant Worf race to the control room of the nacelle tube via a ladder in the Jefferies tube while Picard takes precautionary measures and orders the exterior hull plate released so they may jettison the warp core. When both Riker and Worf arrive, they find Lieutenant Daniel Kwan on the catwalk staring at the plasma stream. Lieutenant Nara is at her station, unable to shut down the plasma flow. She warns both officers that if they approach Kwan, she fears he'll jump through the force field and into the stream. Worf goes to try to circumvent the override Kwan placed on the injectors while Riker slowly moves towards him and tries to talk him down from the catwalk. Kwan oddly remarks about people laughing at him, and that he does not want to do what he is about to. Riker assures him that they'll talk about it but Kwan warns him to stay away. Worf gets control back, but there is still active plasma in the tube and it will take time to dissipate. Nearly desperate to buy the time, Riker tries to distract Kwan by getting him to explain his problem, but he calmly replies by saying, ""I know what I have to do."" Kwan then jumps into the plasma stream and kills himself, shocking Worf and Nara, with Riker slamming his hand against the bulkhead, visibly upset. "	As a young lieutenant aboard the Enterprise commits suicide, his shipmates deal with the loss and Deanna deals with feelings surrounding her as she and Worf begin to form a relationship.
